id товара,Название товара,Описание товара,Диагональ экрана,Разрешение экрана,Разрешение HD,Тип матрицы,Цена,Код валюты,Расшифровка валюты,Условия доставки,Smart TV,Интерфейсы: ,Звук,Wi-Fi,Крепление на стену,Потребление,3D
1,"Presino Телевизор: модель 55U23SA 55""/4K UHD/Smart/WiFi","Телевизоры Presino с функцией Smart TV на базе операционной системы Android 11 с детализированным изображением поддерживает все популярные форматы видео и аудио. Динамики Dolby Digital обеспечат полное погружение в любимые сериалы и фильмы, а встроенный Wi-Fi — доступ ко всем необходимым приложениям!","55""",3840x2160,UHD,DLED,3986100,UZS,Узбекский сум,"в течение 3 дней после оплаты в пункт выдачи, возврат в течение 14 дней в случае обнаружения барака или деффектов.",да,"HDMI, USB, Ethernet, и Wi-Fi.",20 Вт с поддержкой Dolby Digital,да,размер VESA 200x100,150 Вт ,нет
2,"Presino Телевизор: Presino ТВ 43U23SY/43""/4K UHD/Smart/WiFi","Умные телевизоры Presino на базе операционной системыGAIA EU2.0. Безрамочный дизайн. Блютус пульт, голосовое управление","43""",3840x2160,UHD,DLED,2853700,UZS,Узбекский сум,"в течение 3 дней после оплаты в пункт выдачи, возврат в течение 14 дней в случае обнаружения барака или деффектов.",да,"HDMI, USB, Ethernet, и Wi-Fi.",21 Вт с поддержкой Dolby Digital,да,размер VESA 200x101,130 Вт ,нет
3,"Presino Телевизор: Presino ТВ 32F23SY/32""/HD/Smart/WiFi","Умные телевизоры Presino на базе операционной системыGAIA EU2.0. Безрамочный дизайн. Блютус пульт, голосовое управление","32""",1366x768,HD READY,DLED,1761500,UZS,Узбекский сум,"в течение 5 дней после оплаты в пункт выдачи, возврат в течение 14 дней в случае обнаружения барака или деффектов.",да,"HDMI, USB, Ethernet, и Wi-Fi.",22 Вт с поддержкой Dolby Digital,да,размер VESA 200x102,140 Вт ,нет
4,"Presino Телевизор: Presino ТВ 43F22SA/43""/FHD/Smart/WiFi","Телевизоры Presino с функцией Smart TV на базе операционной системы Android 11 с детализированным изображением поддерживает все популярные форматы видео и аудио. Динамики Dolby Digital обеспечат полное погружение в любимые сериалы и фильмы, а встроенный Wi-Fi — доступ ко всем необходимым приложениям!","43""",1920x1080,FHD,DLED,2619800,UZS,Узбекский сум,"в течение 4 дней после оплаты в пункт выдачи, возврат в течение 14 дней в случае обнаружения барака или деффектов.",да,"HDMI, USB, Ethernet, и Wi-Fi.",23 Вт с поддержкой Dolby Digital,да,размер VESA 200x103,75 Вт,нет
